id,year,title,domain,primary_field,display_community,is_landmark,anchor_label,short_id,doi,cited_by_count,primary_topic,community_label,is_closure_node,domain_analysis_end_year
transformer_foundation_models::https://openalex.org/W3189653508,2022,Congested crowd instance localization with dilated convolutional swin transformer,transformer_foundation_models,Video Surveillance and Tracking Methods,300768,0,,W3189653508,10.1016/j.neucom.2022.09.113,54,Video Surveillance and Tracking Methods,Video Surveillance and Tracking Methods,0,2024
transformer_foundation_models::https://openalex.org/W3114125346,2020,Technological Design of 3D NAND-Based Compute-in-Memory Architecture for GB-Scale Deep Neural Network,transformer_foundation_models,Advanced Memory and Neural Computing,300030,0,,W3114125346,10.1109/led.2020.3048101,54,Advanced Memory and Neural Computing,Advanced Memory and Neural Computing,0,2024
transformer_foundation_models::https://openalex.org/W3041843309,2020,A Survey on Transfer Learning in Natural Language Processing,transformer_foundation_models,Topic Modeling,300741,0,,W3041843309,10.48550/arxiv.2007.04239,54,Topic Modeling,Topic Modeling,0,2024
transformer_foundation_models::https://openalex.org/W3093423309,2020,MixCo: Mix-up Contrastive Learning for Visual Representation,transformer_foundation_models,Domain Adaptation and Few-Shot Learning,300209,0,,W3093423309,10.48550/arxiv.2010.06300,54,Domain Adaptation and Few-Shot Learning,Domain Adaptation and Few-Shot Learning,0,2024
transformer_foundation_models::https://openalex.org/W3183904482,2021,Multi-Transformer: A New Neural Network-Based Architecture for Forecasting S&amp;P Volatility,transformer_foundation_models,Stock Market Forecasting Methods,300713,0,,W3183904482,10.3390/math9151794,53,Stock Market Forecasting Methods,Stock Market Forecasting Methods,0,2024
transformer_foundation_models::https://openalex.org/W4380084044,2023,SAFF-SSD: Self-Attention Combined Feature Fusion-Based SSD for Small Object Detection in Remote Sensing,transformer_foundation_models,Advanced Neural Network Applications,300032,0,,W4380084044,10.3390/rs15123027,53,Advanced Neural Network Applications,Advanced Neural Network Applications,0,2024
transformer_foundation_models::https://openalex.org/W4395106452,2024,Characterizing Power Management Opportunities for LLMs in the Cloud,transformer_foundation_models,Cloud Computing and Resource Management,300146,0,,W4395106452,10.1145/3620666.3651329,53,Cloud Computing and Resource Management,Cloud Computing and Resource Management,0,2024
transformer_foundation_models::https://openalex.org/W3162811262,2021,Contrastive Unsupervised Learning for Speech Emotion Recognition,transformer_foundation_models,Emotion and Mood Recognition,300231,0,,W3162811262,10.1109/icassp39728.2021.9413910,52,Emotion and Mood Recognition,Emotion and Mood Recognition,0,2024
transformer_foundation_models::https://openalex.org/W4389669106,2023,"Systematic testing of three Language Models reveals low language accuracy, absence of response stability, and a yes-response bias",transformer_foundation_models,Topic Modeling,300741,0,,W4389669106,10.1073/pnas.2309583120,52,Topic Modeling,Topic Modeling,0,2024
transformer_foundation_models::https://openalex.org/W3039556919,2020,Language processing in brains and deep neural networks: computational convergence and its limits,transformer_foundation_models,Neurobiology of Language and Bilingualism,300501,0,,W3039556919,10.1101/2020.07.03.186288,52,Neurobiology of Language and Bilingualism,Neurobiology of Language and Bilingualism,0,2024
transformer_foundation_models::https://openalex.org/W3163368065,2021,Interpretable and Lightweight 3-D Deep Learning Model for Automated ACL Diagnosis,transformer_foundation_models,Software Testing and Debugging Techniques,300692,0,,W3163368065,10.1109/jbhi.2021.3081355,51,Software Testing and Debugging Techniques,Software Testing and Debugging Techniques,0,2024
transformer_foundation_models::https://openalex.org/W3191807689,2021,Transformer-based deep imitation learning for dual-arm robot manipulation,transformer_foundation_models,Robot Manipulation and Learning,300649,0,,W3191807689,10.1109/iros51168.2021.9636301,51,Robot Manipulation and Learning,Robot Manipulation and Learning,0,2024
transformer_foundation_models::https://openalex.org/W3199446690,2022,Few-Shot Cross-Lingual Stance Detection with Sentiment-Based Pre-training,transformer_foundation_models,Topic Modeling,300741,0,,W3199446690,10.1609/aaai.v36i10.21318,51,Topic Modeling,Topic Modeling,0,2024
transformer_foundation_models::https://openalex.org/W4405552797,2024,Open-source LLMs for text annotation: a practical guide for model setting and fine-tuning,transformer_foundation_models,Topic Modeling,300741,0,,W4405552797,10.1007/s42001-024-00345-9,51,Topic Modeling,Topic Modeling,0,2024
transformer_foundation_models::https://openalex.org/W4381855196,2023,"Battle of the Wordsmiths: Comparing ChatGPT, GPT-4, Claude, and Bard",transformer_foundation_models,Multimodal Machine Learning Applications,300480,0,,W4381855196,10.2139/ssrn.4476855,51,Multimodal Machine Learning Applications,Multimodal Machine Learning Applications,0,2024
transformer_foundation_models::https://openalex.org/W3211484452,2021,Meteor: Cryptographically Secure Steganography for Realistic Distributions,transformer_foundation_models,Advanced Steganography and Watermarking Techniques,300036,0,,W3211484452,10.1145/3460120.3484550,50,Advanced Steganography and Watermarking Techniques,Advanced Steganography and Watermarking Techniques,0,2024
transformer_foundation_models::https://openalex.org/W4281625931,2022,Conscious Empathic AI in Service,transformer_foundation_models,AI in Service Interactions,300004,0,,W4281625931,10.1177/10946705221103531,50,AI in Service Interactions,AI in Service Interactions,0,2024
transformer_foundation_models::https://openalex.org/W4324092119,2023,Overview of Spiking Neural Network Learning Approaches and Their Computational Complexities,transformer_foundation_models,Advanced Memory and Neural Computing,300030,0,,W4324092119,10.3390/s23063037,50,Advanced Memory and Neural Computing,Advanced Memory and Neural Computing,0,2024
transformer_foundation_models::https://openalex.org/W4377246425,2023,Reduced-order modeling of fluid flows with transformers,transformer_foundation_models,Model Reduction and Neural Networks,300470,0,,W4377246425,10.1063/5.0151515,50,Model Reduction and Neural Networks,Model Reduction and Neural Networks,0,2024
transformer_foundation_models::https://openalex.org/W3122378989,2021,Pruning and Quantization for Deep Neural Network Acceleration: A Survey,transformer_foundation_models,Advanced Neural Network Applications,300032,0,,W3122378989,10.48550/arxiv.2101.09671,50,Advanced Neural Network Applications,Advanced Neural Network Applications,0,2024
transformer_foundation_models::https://openalex.org/W3142085127,2021,On the Adversarial Robustness of Visual Transformers,transformer_foundation_models,Adversarial Robustness in Machine Learning,300043,0,,W3142085127,,50,Adversarial Robustness in Machine Learning,Adversarial Robustness in Machine Learning,0,2024
transformer_foundation_models::https://openalex.org/W3207222250,2021,SLAM: A Unified Encoder for Speech and Language Modeling via Speech-Text Joint Pre-Training,transformer_foundation_models,Topic Modeling,300741,0,,W3207222250,10.48550/arxiv.2110.10329,50,Topic Modeling,Topic Modeling,0,2024
transformer_foundation_models::https://openalex.org/W2963177331,2021,"Trends in Integration of Vision and Language Research: A Survey of Tasks, Datasets, and Methods",transformer_foundation_models,Multimodal Machine Learning Applications,300480,0,,W2963177331,10.1613/jair.1.11688,49,Multimodal Machine Learning Applications,Multimodal Machine Learning Applications,0,2024
transformer_foundation_models::https://openalex.org/W3122317902,2021,GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding,transformer_foundation_models,Topic Modeling,300741,0,,W3122317902,,49,Topic Modeling,Topic Modeling,0,2024
transformer_foundation_models::https://openalex.org/W3157460577,2021,Short-Term Load Forecasting Using Encoder-Decoder WaveNet: Application to the French Grid,transformer_foundation_models,Energy Load and Power Forecasting,300236,0,,W3157460577,10.3390/en14092524,49,Energy Load and Power Forecasting,Energy Load and Power Forecasting,0,2024
transformer_foundation_models::https://openalex.org/W3165163830,2021,ProteinBERT: A universal deep-learning model of protein sequence and function,transformer_foundation_models,Machine Learning in Bioinformatics,300418,0,,W3165163830,10.1101/2021.05.24.445464,49,Machine Learning in Bioinformatics,Machine Learning in Bioinformatics,0,2024
transformer_foundation_models::https://openalex.org/W3217247671,2021,Point-BERT: Pre-training 3D Point Cloud Transformers with Masked Point Modeling,transformer_foundation_models,3D Shape Modeling and Analysis,300001,0,,W3217247671,10.48550/arxiv.2111.14819,49,3D Shape Modeling and Analysis,3D Shape Modeling and Analysis,0,2024
transformer_foundation_models::https://openalex.org/W3120706522,2021,Robustness Gym: Unifying the NLP Evaluation Landscape,transformer_foundation_models,Topic Modeling,300741,0,,W3120706522,10.18653/v1/2021.naacl-demos.6,48,Topic Modeling,Topic Modeling,0,2024
transformer_foundation_models::https://openalex.org/W3165850266,2021,How much intelligence is there in artificial intelligence? A 2020 update,transformer_foundation_models,Explainable Artificial Intelligence (XAI),300256,0,,W3165850266,10.1016/j.intell.2021.101548,48,Explainable Artificial Intelligence (XAI),Explainable Artificial Intelligence (XAI),0,2024
transformer_foundation_models::https://openalex.org/W3199712787,2021,Semantic Networks for Engineering Design: State of the Art and Future Directions,transformer_foundation_models,Design Education and Practice,300189,0,,W3199712787,10.1115/1.4052148,48,Design Education and Practice,Design Education and Practice,0,2024
transformer_foundation_models::https://openalex.org/W3205418336,2022,Classical-To-Quantum Transfer Learning for Spoken Command Recognition Based on Quantum Neural Networks,transformer_foundation_models,Quantum Computing Algorithms and Architecture,300608,0,,W3205418336,10.1109/icassp43922.2022.9747636,48,Quantum Computing Algorithms and Architecture,Quantum Computing Algorithms and Architecture,0,2024
transformer_foundation_models::https://openalex.org/W4381302520,2023,MSVT: Multiple Spatiotemporal Views Transformer for DeepFake Video Detection,transformer_foundation_models,Digital Media Forensic Detection,300198,0,,W4381302520,10.1109/tcsvt.2023.3281448,48,Digital Media Forensic Detection,Digital Media Forensic Detection,0,2024
