paper_id,title,domain,year,primary_field,profile_type,metric,percentile,n_controls,control_tier,future_rgpm_proxy
crispr::https://openalex.org/W927857605,A CRISPR-Cas9 System for Genetic Engineering of Filamentous Fungi,crispr,2015,Molecular Biology,future_top_decile,BurtIP,17.741935483870968,186,field_year_refbin,0.6844887469793156
crispr::https://openalex.org/W927857605,A CRISPR-Cas9 System for Genetic Engineering of Filamentous Fungi,crispr,2015,Molecular Biology,future_top_decile,PDE,44.086021505376344,186,field_year_refbin,0.6844887469793156
crispr::https://openalex.org/W2039551908,Non-viral vectors for gene-based therapy,crispr,2014,Molecular Biology,future_top_decile,B,19.047619047619047,126,field_year_refbin,0.6583369540666002
crispr::https://openalex.org/W2039551908,Non-viral vectors for gene-based therapy,crispr,2014,Molecular Biology,future_top_decile,RS,52.38095238095239,126,field_year_refbin,0.6583369540666002
crispr::https://openalex.org/W2039551908,Non-viral vectors for gene-based therapy,crispr,2014,Molecular Biology,future_top_decile,DeltaQ0,82.53968253968253,126,field_year_refbin,0.6583369540666002
crispr::https://openalex.org/W2039551908,Non-viral vectors for gene-based therapy,crispr,2014,Molecular Biology,future_top_decile,Uzzi,96.03174603174604,126,field_year_refbin,0.6583369540666002
crispr::https://openalex.org/W2039551908,Non-viral vectors for gene-based therapy,crispr,2014,Molecular Biology,future_top_decile,RTD,36.507936507936506,126,field_year_refbin,0.6583369540666002
crispr::https://openalex.org/W2039551908,Non-viral vectors for gene-based therapy,crispr,2014,Molecular Biology,future_top_decile,BurtIP,18.253968253968253,126,field_year_refbin,0.6583369540666002
crispr::https://openalex.org/W2039551908,Non-viral vectors for gene-based therapy,crispr,2014,Molecular Biology,future_top_decile,PDE,52.38095238095239,126,field_year_refbin,0.6583369540666002
crispr::https://openalex.org/W2039705224,"CRISPR-Cas systems for editing, regulating and targeting genomes",crispr,2014,Molecular Biology,future_top_decile,B,33.490566037735846,212,field_year_refbin,0.6413834083582814
crispr::https://openalex.org/W2039705224,"CRISPR-Cas systems for editing, regulating and targeting genomes",crispr,2014,Molecular Biology,future_top_decile,RS,43.86792452830189,212,field_year_refbin,0.6413834083582814
crispr::https://openalex.org/W2039705224,"CRISPR-Cas systems for editing, regulating and targeting genomes",crispr,2014,Molecular Biology,future_top_decile,DeltaQ0,59.43396226415094,212,field_year_refbin,0.6413834083582814
crispr::https://openalex.org/W2039705224,"CRISPR-Cas systems for editing, regulating and targeting genomes",crispr,2014,Molecular Biology,future_top_decile,Uzzi,86.79245283018868,212,field_year_refbin,0.6413834083582814
crispr::https://openalex.org/W2039705224,"CRISPR-Cas systems for editing, regulating and targeting genomes",crispr,2014,Molecular Biology,future_top_decile,RTD,31.132075471698112,212,field_year_refbin,0.6413834083582814
crispr::https://openalex.org/W2039705224,"CRISPR-Cas systems for editing, regulating and targeting genomes",crispr,2014,Molecular Biology,future_top_decile,BurtIP,46.22641509433962,212,field_year_refbin,0.6413834083582814
crispr::https://openalex.org/W2039705224,"CRISPR-Cas systems for editing, regulating and targeting genomes",crispr,2014,Molecular Biology,future_top_decile,PDE,43.86792452830189,212,field_year_refbin,0.6413834083582814
crispr::https://openalex.org/W2125469076,TALEN and CRISPR/Cas Genome Editing Systems: Tools of Discovery,crispr,2014,Molecular Biology,future_top_decile,B,31.60377358490566,212,field_year_refbin,0.6383581632856534
crispr::https://openalex.org/W2125469076,TALEN and CRISPR/Cas Genome Editing Systems: Tools of Discovery,crispr,2014,Molecular Biology,future_top_decile,RS,45.28301886792453,212,field_year_refbin,0.6383581632856534
crispr::https://openalex.org/W2125469076,TALEN and CRISPR/Cas Genome Editing Systems: Tools of Discovery,crispr,2014,Molecular Biology,future_top_decile,DeltaQ0,21.22641509433962,212,field_year_refbin,0.6383581632856534
crispr::https://openalex.org/W2125469076,TALEN and CRISPR/Cas Genome Editing Systems: Tools of Discovery,crispr,2014,Molecular Biology,future_top_decile,Uzzi,86.79245283018868,212,field_year_refbin,0.6383581632856534
crispr::https://openalex.org/W2125469076,TALEN and CRISPR/Cas Genome Editing Systems: Tools of Discovery,crispr,2014,Molecular Biology,future_top_decile,RTD,52.358490566037744,212,field_year_refbin,0.6383581632856534
crispr::https://openalex.org/W2125469076,TALEN and CRISPR/Cas Genome Editing Systems: Tools of Discovery,crispr,2014,Molecular Biology,future_top_decile,BurtIP,41.9811320754717,212,field_year_refbin,0.6383581632856534
crispr::https://openalex.org/W2125469076,TALEN and CRISPR/Cas Genome Editing Systems: Tools of Discovery,crispr,2014,Molecular Biology,future_top_decile,PDE,44.81132075471698,212,field_year_refbin,0.6383581632856534
crispr::https://openalex.org/W2167171238,Targeting non-coding RNAs with the CRISPR/Cas9 system in human cell lines,crispr,2014,Molecular Biology,future_top_decile,B,0.4524886877828055,221,field_year_refbin,0.6258463634001384
crispr::https://openalex.org/W2167171238,Targeting non-coding RNAs with the CRISPR/Cas9 system in human cell lines,crispr,2014,Molecular Biology,future_top_decile,RS,49.7737556561086,221,field_year_refbin,0.6258463634001384
crispr::https://openalex.org/W2167171238,Targeting non-coding RNAs with the CRISPR/Cas9 system in human cell lines,crispr,2014,Molecular Biology,future_top_decile,DeltaQ0,64.70588235294117,221,field_year_refbin,0.6258463634001384
crispr::https://openalex.org/W2167171238,Targeting non-coding RNAs with the CRISPR/Cas9 system in human cell lines,crispr,2014,Molecular Biology,future_top_decile,Uzzi,92.76018099547511,221,field_year_refbin,0.6258463634001384
crispr::https://openalex.org/W2167171238,Targeting non-coding RNAs with the CRISPR/Cas9 system in human cell lines,crispr,2014,Molecular Biology,future_top_decile,RTD,36.65158371040724,221,field_year_refbin,0.6258463634001384
crispr::https://openalex.org/W2167171238,Targeting non-coding RNAs with the CRISPR/Cas9 system in human cell lines,crispr,2014,Molecular Biology,future_top_decile,BurtIP,0.904977375565611,221,field_year_refbin,0.6258463634001384
crispr::https://openalex.org/W2167171238,Targeting non-coding RNAs with the CRISPR/Cas9 system in human cell lines,crispr,2014,Molecular Biology,future_top_decile,PDE,49.7737556561086,221,field_year_refbin,0.6258463634001384
crispr::https://openalex.org/W2106070783,Easy quantitative assessment of genome editing by sequence trace decomposition,crispr,2014,Molecular Biology,future_top_decile,B,23.015873015873016,126,field_year_refbin,0.6029410051938421
crispr::https://openalex.org/W2106070783,Easy quantitative assessment of genome editing by sequence trace decomposition,crispr,2014,Molecular Biology,future_top_decile,RS,52.38095238095239,126,field_year_refbin,0.6029410051938421
crispr::https://openalex.org/W2106070783,Easy quantitative assessment of genome editing by sequence trace decomposition,crispr,2014,Molecular Biology,future_top_decile,DeltaQ0,57.936507936507944,126,field_year_refbin,0.6029410051938421
crispr::https://openalex.org/W2106070783,Easy quantitative assessment of genome editing by sequence trace decomposition,crispr,2014,Molecular Biology,future_top_decile,Uzzi,96.03174603174604,126,field_year_refbin,0.6029410051938421
crispr::https://openalex.org/W2106070783,Easy quantitative assessment of genome editing by sequence trace decomposition,crispr,2014,Molecular Biology,future_top_decile,RTD,36.507936507936506,126,field_year_refbin,0.6029410051938421
crispr::https://openalex.org/W2106070783,Easy quantitative assessment of genome editing by sequence trace decomposition,crispr,2014,Molecular Biology,future_top_decile,BurtIP,25.396825396825395,126,field_year_refbin,0.6029410051938421
crispr::https://openalex.org/W2106070783,Easy quantitative assessment of genome editing by sequence trace decomposition,crispr,2014,Molecular Biology,future_top_decile,PDE,52.38095238095239,126,field_year_refbin,0.6029410051938421
crispr::https://openalex.org/W1855348513,BCL11A enhancer dissection by Cas9-mediated in situ saturating mutagenesis,crispr,2015,Molecular Biology,future_top_decile,B,46.774193548387096,186,field_year_refbin,0.5820475051879057
crispr::https://openalex.org/W1855348513,BCL11A enhancer dissection by Cas9-mediated in situ saturating mutagenesis,crispr,2015,Molecular Biology,future_top_decile,RS,44.086021505376344,186,field_year_refbin,0.5820475051879057
crispr::https://openalex.org/W1855348513,BCL11A enhancer dissection by Cas9-mediated in situ saturating mutagenesis,crispr,2015,Molecular Biology,future_top_decile,DeltaQ0,70.43010752688173,186,field_year_refbin,0.5820475051879057
crispr::https://openalex.org/W1855348513,BCL11A enhancer dissection by Cas9-mediated in situ saturating mutagenesis,crispr,2015,Molecular Biology,future_top_decile,Uzzi,86.55913978494624,186,field_year_refbin,0.5820475051879057
crispr::https://openalex.org/W1855348513,BCL11A enhancer dissection by Cas9-mediated in situ saturating mutagenesis,crispr,2015,Molecular Biology,future_top_decile,RTD,70.43010752688173,186,field_year_refbin,0.5820475051879057
crispr::https://openalex.org/W1855348513,BCL11A enhancer dissection by Cas9-mediated in situ saturating mutagenesis,crispr,2015,Molecular Biology,future_top_decile,BurtIP,41.935483870967744,186,field_year_refbin,0.5820475051879057
crispr::https://openalex.org/W1855348513,BCL11A enhancer dissection by Cas9-mediated in situ saturating mutagenesis,crispr,2015,Molecular Biology,future_top_decile,PDE,44.086021505376344,186,field_year_refbin,0.5820475051879057
crispr::https://openalex.org/W1213974439,Cas9-Assisted Targeting of CHromosome segments CATCH enables one-step targeted cloning of large gene clusters,crispr,2015,Molecular Biology,future_top_decile,B,19.653179190751445,173,field_year_refbin,0.5620655143210057
crispr::https://openalex.org/W1213974439,Cas9-Assisted Targeting of CHromosome segments CATCH enables one-step targeted cloning of large gene clusters,crispr,2015,Molecular Biology,future_top_decile,RS,55.49132947976878,173,field_year_refbin,0.5620655143210057
crispr::https://openalex.org/W1213974439,Cas9-Assisted Targeting of CHromosome segments CATCH enables one-step targeted cloning of large gene clusters,crispr,2015,Molecular Biology,future_top_decile,DeltaQ0,70.52023121387283,173,field_year_refbin,0.5620655143210057
crispr::https://openalex.org/W1213974439,Cas9-Assisted Targeting of CHromosome segments CATCH enables one-step targeted cloning of large gene clusters,crispr,2015,Molecular Biology,future_top_decile,Uzzi,94.21965317919076,173,field_year_refbin,0.5620655143210057
crispr::https://openalex.org/W1213974439,Cas9-Assisted Targeting of CHromosome segments CATCH enables one-step targeted cloning of large gene clusters,crispr,2015,Molecular Biology,future_top_decile,RTD,43.93063583815029,173,field_year_refbin,0.5620655143210057
crispr::https://openalex.org/W1213974439,Cas9-Assisted Targeting of CHromosome segments CATCH enables one-step targeted cloning of large gene clusters,crispr,2015,Molecular Biology,future_top_decile,BurtIP,18.497109826589593,173,field_year_refbin,0.5620655143210057
crispr::https://openalex.org/W1213974439,Cas9-Assisted Targeting of CHromosome segments CATCH enables one-step targeted cloning of large gene clusters,crispr,2015,Molecular Biology,future_top_decile,PDE,55.49132947976878,173,field_year_refbin,0.5620655143210057
crispr::https://openalex.org/W2098188264,Modeling the mitochondrial cardiomyopathy of Barth syndrome with induced pluripotent stem cell and heart-on-chip technologies,crispr,2014,Molecular Biology,future_top_decile,B,7.936507936507936,126,field_year_refbin,0.5371969048019563
