w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE,cv_spearman,cv_spearman_delta_vs_equal
0.26024,0.11359401,0.03181069,0.08500188,0.10653123,0.26438054,0.13844165,0.12687511749399513,-0.06238975186187165
0.27293275,0.18000944,0.25391921,0.05129319,0.04592827,0.12194794,0.0739692,0.15419468177216467,-0.03507018758370212
0.21526149,0.48583315,0.02896844,0.01922508,0.02438952,0.21961862,0.0067037,0.1497640825934235,-0.039500786762443285
0.14809523,0.1413813,0.05717107,0.16671544,0.40386366,0.0148945,0.0678788,0.20583505495738927,0.016570185601522486
0.00978079,0.08252949,0.25088456,0.23772729,0.03651935,0.00350876,0.37904977,0.1330258773237673,-0.05623899203209948
0.1451466,0.1031919,0.19019695,0.00725487,0.3049001,0.05726305,0.19204653,0.2179612843190084,0.028696414963141625
0.0637391,0.11496129,0.67267825,0.03520668,0.01781156,0.07638699,0.01921612,0.12405946137234768,-0.0652054079835191
0.33352502,0.35089293,0.08361629,0.02809745,0.08208316,0.12015482,0.00163033,0.15291034453873398,-0.036354524817132805
0.22355817,0.09908089,0.05790374,0.00581814,0.09485432,0.33402007,0.18476467,0.12813095603178165,-0.06113391332408513
0.02092322,0.11302935,0.07561716,0.01524548,0.6011134,0.16409038,0.00998101,0.2060882530268576,0.016823383670990816
0.29539236,0.07413278,0.50833587,0.05856775,0.00572236,0.04464028,0.01320859,0.13709353946092742,-0.05217132989493936
0.12324645,0.27718101,0.05936998,0.35637615,0.15247218,0.01737679,0.01397745,0.18786013034931448,-0.0014047390065523024
0.28415792,0.01839354,0.29379862,0.02850998,0.00439222,0.275702,0.09504572,0.1106169091146243,-0.07864796024124249
0.09352249,0.30319225,0.14579899,0.0626807,0.02092935,0.07173511,0.3021411,0.17909008677849975,-0.010174782577367036
0.09580394,0.32844215,0.10436649,0.04409137,0.01451065,0.30282793,0.10995748,0.15653544960622873,-0.032729419749638056
0.11756815,0.01664763,0.11239451,0.52730674,0.09353436,0.07213849,0.06041011,0.14478127190044754,-0.044483597455419244
0.01826005,0.11868418,0.00906145,0.47557122,0.07858916,0.23197703,0.06785691,0.12638342050332477,-0.06288144885254202
0.25647563,0.16961,0.16411646,0.00783753,0.03808603,0.30563508,0.05823927,0.12026043983844559,-0.0690044295174212
0.17884361,0.47417604,0.03067043,0.20561485,0.01692362,0.01841431,0.07535715,0.15842541699623403,-0.030839452359632757
0.11922186,0.12215263,0.0925205,0.00643729,0.40643694,0.02203876,0.23119202,0.19926670765684976,0.010001838300982974
0.15393583,0.00671864,0.07343644,0.54822285,0.0384852,0.11184341,0.06735763,0.10181238569377822,-0.08745248366208856
0.18364226,0.49876761,0.02335546,0.0228112,0.02503055,0.10453771,0.14185521,0.16034681336355816,-0.028918055992308622
0.00372299,0.12889486,0.33379597,0.00888987,0.22046939,0.2793231,0.02490381,0.18003950147295172,-0.009225367882915059
0.04820787,0.28420927,0.46639744,0.01486218,0.09967604,0.03332835,0.05331886,0.14859446984541697,-0.04067039951044982
0.09461032,0.22444489,0.13807824,0.30660472,0.03171252,0.00132986,0.20321945,0.17825885689790155,-0.01100601245796523
0.60225472,0.10055073,0.12047548,0.08373277,0.05665422,0.02932957,0.00700251,0.09460772801079256,-0.09465714134507422
0.18994717,0.15703316,0.0596405,0.09235252,0.36136222,0.03021415,0.10945028,0.205582759084863,0.016317889728996227
0.30690331,0.02416538,0.04299207,0.15640336,0.09974994,0.23469395,0.13509199,0.11010638818332129,-0.0791584811725455
0.07800321,0.06451852,0.01275973,0.0594186,0.01625635,0.01542633,0.75361725,0.11103727398099865,-0.07822759537486813
0.22929123,0.10310681,0.19389291,0.26982088,0.07644671,0.09995451,0.02748695,0.14711398675312262,-0.04215088260274416
0.07275597,0.10400621,0.05968403,0.20920564,0.06612463,0.47699672,0.0112268,0.09386317492634351,-0.09540169442952327
0.07839855,0.08337394,0.0572786,0.05571556,0.0142309,0.20082687,0.51017558,0.16427504027260453,-0.02498982908326225
0.27079972,0.17009334,0.04527442,0.08286623,0.0219956,0.04764769,0.36132299,0.1666933675576412,-0.02257150179822559
0.06418221,0.05108043,0.03338764,0.78094382,0.02927615,0.01344321,0.02768653,0.08130691222460032,-0.10795795713126646
0.62688164,0.00021869,0.01027772,0.13652016,0.08128854,0.04419577,0.10061747,0.08118840382831385,-0.10807646552755293
0.01356185,0.12781029,0.27166239,0.12419798,0.01098468,0.06998301,0.38179981,0.1730392919422463,-0.01622557741362049
