source_community,target_community,weight
37152299,34920584,1
37152299,34937750,1
37152299,34971678,2
37152299,35006262,1
37152299,35024081,5
37152299,35024206,1
37152299,37169336,1
37152299,39520002,1
37152302,34920985,1
37152302,35024081,6
37152302,37169075,1
37168289,35024081,2
37168415,35024081,2
37168551,35024081,1
37168681,34955695,1
37168812,34886003,2
37168812,35024081,12
37168945,35024081,1
37169073,34886922,1
37169073,35024081,3
37169073,37169467,2
37169073,43896184,1
37169075,35024081,4
37169336,34920985,1
37169336,34971678,2
37169336,35024081,24
37169336,37220160,1
37169336,37288543,3
37169338,34903692,1
37169338,34920977,1
37169338,35024081,38
37169338,37152299,1
37169338,37169336,3
37169338,37185447,1
37169338,37203783,1
37169338,37254877,1
37169338,39416771,1
37169467,35024081,6
37185447,35006262,1
37185447,35024081,9
37185576,34903300,1
37185576,34903692,1
37185576,34937750,1
37185576,35006262,1
37185576,35024081,2
37185576,37134221,1
37185576,37203783,2
37185837,35024081,6
37185837,39468252,1
37185968,35024081,2
37186232,34903692,1
37186237,35024081,1
37186237,37169336,2
37186624,35024081,1
37202606,35024081,1
37202736,35024081,3
37202742,35024081,6
37202871,34954909,1
37202871,35006391,1
37202871,35024081,1
37203127,35024081,2
37203265,35024081,2
37203397,34886003,2
37203397,34904081,2
37203397,34954909,1
37203397,35024081,43
37203397,37168812,2
37203397,39382443,1
37203520,35024081,2
37203520,39519608,1
37203520,41647569,1
37203652,35024081,3
37203653,34903692,1
37203653,34903822,1
37203653,34971809,1
37203653,34971936,1
37203653,35024081,30
37203653,35040717,1
37203653,37203783,1
37203653,37254877,1
37203657,35024081,1
37203657,37203783,1
37203783,34886269,1
37203783,34903692,4
37203783,34972721,1
37203783,34988968,5
37203783,35006262,2
37203783,35024081,135
37203783,37134221,15
37203783,37169338,2
37203783,37185447,1
37203783,39468778,1
37203785,35024081,2
37203787,35024081,9
37219767,35024081,1
37220160,39399215,1
37220294,35024081,5
37220551,34955698,1
37220689,35024081,4
37220813,35024081,1
37220946,35024081,1
37220950,35024081,3
37220950,37237978,1
37237064,37169467,2
37237193,34971809,1
37237193,35024081,1
37237193,37169467,1
37237196,34920985,1
37237196,34971678,1
37237196,35024081,1
37237196,37169338,1
37237451,34920454,1
37237451,34920977,1
37237451,34938534,1
37237451,35024081,12
37237451,37169338,1
37237451,37254876,1
37237714,35024081,13
37237714,39417032,1
37237719,34921373,1
37237719,34972728,1
37237719,35024081,7
37237719,37185837,1
37237719,39485935,1
37237849,35024081,4
37237849,35024206,1
37237977,35024081,4
37237978,35024081,16
37254485,34954650,1
37254485,35040588,1
37254485,37169336,1
37254485,37169467,1
