horizon,model_id,model_label,prediction_decile,n,top_count,observed_top_share,baseline_top_share,enrichment_over_baseline,ci_low,ci_high,bootstrap_iterations,bootstrap_unit
3,expanded,Expanded 153,4.0,39513,963,0.024371725761141903,0.10000809843649561,0.2436975219223648,0.019364834450105034,0.027750700182187206,2000,publication_year
3,expanded,Expanded 153,5.0,39515,1501,0.03798557509806403,0.10000809843649561,0.37982499109494205,0.03339323999262237,0.041584565626973664,2000,publication_year
3,expanded,Expanded 153,6.0,39512,2165,0.05479348046163191,0.10000809843649561,0.5478904340574514,0.049420017401790674,0.05980000026892737,2000,publication_year
3,expanded,Expanded 153,7.0,39513,3223,0.0815680915141852,0.10000809843649561,0.815614863090116,0.07542455969227468,0.08679579025124781,2000,publication_year
3,expanded,Expanded 153,8.0,39512,5000,0.1265438347843693,0.10000809843649561,1.265335875421366,0.12079082820492192,0.13373016541666155,2000,publication_year
3,expanded,Expanded 153,9.0,39512,8286,0.20970844300465682,0.10000809843649561,2.0969146127482876,0.19931949812937963,0.22528589435950605,2000,publication_year
3,expanded,Expanded 153,10.0,39517,16883,0.42723384872333425,0.10000809843649561,4.2719925226318,0.40623325421057177,0.45075396785412253,2000,publication_year
3,broad_t0,Broad T0 219,1.0,39520,410,0.010374493927125507,0.10000809843649561,0.10373653823358348,0.0058022233963223166,0.015230072620380087,2000,publication_year
3,broad_t0,Broad T0 219,2.0,39512,479,0.01212289937234258,0.10000809843649561,0.12121917686536686,0.008304001754289126,0.015123126207206449,2000,publication_year
3,broad_t0,Broad T0 219,3.0,39512,581,0.014704393601943713,0.10000809843649561,0.14703202872396273,0.010876375971838248,0.017739525548889502,2000,publication_year
3,broad_t0,Broad T0 219,4.0,39513,955,0.024169260749626706,0.10000809843649561,0.24167303575893911,0.019231356695022263,0.02755210930879124,2000,publication_year
3,broad_t0,Broad T0 219,5.0,39515,1459,0.036922687586992284,0.10000809843649561,0.3691969766872221,0.032274077251482944,0.04059372241025067,2000,publication_year
3,broad_t0,Broad T0 219,6.0,39512,2223,0.056261388945130594,0.10000809843649561,0.5625683302123393,0.050781281995486496,0.061225897217204166,2000,publication_year
3,broad_t0,Broad T0 219,7.0,39513,3191,0.08075823146812441,0.10000809843649561,0.8075169184364133,0.07426903958622726,0.0861919540790784,2000,publication_year
