horizon,model_id,model_label,domain12,domain_label,window_start,window_end,n,spearman,status,overall_n_oof,overall_spearman
3,strict,Strict 7,computer_science_ai,Computer science & AI,1996,1998,167,0.5288781628745639,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,1997,1999,205,0.5415711295670326,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,1998,2000,234,0.5628720635851621,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,1999,2001,252,0.5341070256094301,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2000,2002,241,0.577433817559852,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2001,2003,248,0.5915347046532434,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2002,2004,254,0.651066949214044,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2003,2005,278,0.6854419402206144,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2004,2006,299,0.7322532183578463,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2005,2007,332,0.7582907480146388,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2006,2008,362,0.7531946684992338,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2007,2009,362,0.7342027978904703,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2008,2010,374,0.742473917699995,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2009,2011,391,0.7251008797211237,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2010,2012,473,0.7525979840711352,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2011,2013,548,0.7471492778352588,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2012,2014,643,0.7535964921678451,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2013,2015,790,0.692439297939206,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2014,2016,1059,0.6637873207206836,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2015,2017,1345,0.6136142499183529,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2016,2018,1512,0.6167760382815494,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2017,2019,1667,0.6158839621895086,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2018,2020,1824,0.6351597529174524,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2019,2021,2251,0.6272042820050899,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,2020,2022,2874,0.6052561661934501,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,1986,1988,489,0.6017467900332195,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,1987,1989,468,0.6341627137368185,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,1988,1990,464,0.663185567037885,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,1989,1991,462,0.7034691896947088,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,1990,1992,434,0.7425225974255815,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,1991,1993,402,0.7580762345330702,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,1992,1994,382,0.7789800536937073,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,1993,1995,382,0.7682219393053945,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,1994,1996,361,0.7461558668966324,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,1995,1997,356,0.7356598189475996,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,1996,1998,372,0.7102464677913327,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,1997,1999,453,0.6758640322960753,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,1998,2000,536,0.6871938408041524,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,1999,2001,607,0.7041131252495609,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2000,2002,594,0.7515773685307211,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2001,2003,651,0.7608956048263424,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2002,2004,677,0.7853623452294568,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2003,2005,729,0.7982132973724497,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2004,2006,762,0.7990243963143577,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2005,2007,913,0.784517276823832,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2006,2008,1079,0.7530619801064606,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2007,2009,1201,0.7406284315495203,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2008,2010,1189,0.7759069359806624,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2009,2011,1214,0.8006962398100057,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2010,2012,1358,0.8136992421153182,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2011,2013,1963,0.7663094151106833,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2012,2014,2856,0.7272096245709516,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2013,2015,4317,0.6734195933795608,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2014,2016,6318,0.6261091459106457,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2015,2017,8171,0.5943685548201884,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2016,2018,8954,0.595338122962382,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2017,2019,9124,0.5962064728599322,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2018,2020,9164,0.5970383842381939,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2019,2021,10013,0.5852743745609711,reliable,396300,0.6994743713368489
3,strict,Strict 7,engineering_energy,Engineering & energy,2020,2022,11376,0.6126545573275232,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",1986,1988,1398,0.6302749933590593,reliable,396300,0.6994743713368489
