comparison_label,candidate_model_id,baseline_model_id,domain12,domain_label,window_start,window_end,n,delta_spearman,display_delta,out_of_scale,status
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2011,2013,630,0.017726942793181433,0.017726942793181433,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2012,2014,800,0.017351268133209197,0.017351268133209197,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2013,2015,1011,0.018774800295168537,0.018774800295168537,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2014,2016,1331,0.01803634071641058,0.01803634071641058,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2015,2017,1689,0.011765705763786438,0.011765705763786438,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2016,2018,1920,0.010065673510146422,0.010065673510146422,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2017,2019,2068,0.011132389087975869,0.011132389087975869,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2018,2020,2133,0.02162694422350442,0.02162694422350442,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2019,2021,0,,,False,not_mature
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2020,2022,0,,,False,not_mature
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,1986,1988,78,-0.040266914767758566,-0.040266914767758566,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,1987,1989,93,0.07798474906155328,0.07798474906155328,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,1988,1990,86,0.18050494146765114,0.08,True,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,1989,1991,87,0.2069219204646508,0.08,True,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,1990,1992,89,0.09097901681410914,0.08,True,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,1991,1993,101,0.003594402747386649,0.003594402747386649,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,1992,1994,100,0.004082106507425354,0.004082106507425354,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,1993,1995,92,-0.040217212911129785,-0.040217212911129785,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,1994,1996,73,0.01959150090626882,0.01959150090626882,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,1995,1997,75,-0.04161706343620042,-0.04161706343620042,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,1996,1998,72,-0.002142575550561965,-0.002142575550561965,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,1997,1999,103,-0.09551818712859411,-0.08,True,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,1998,2000,97,-0.09887539294935843,-0.08,True,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,1999,2001,108,-0.04090688131254033,-0.04090688131254033,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2000,2002,79,0.030534388662353917,0.030534388662353917,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2001,2003,94,0.022581012424059077,0.022581012424059077,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2002,2004,79,0.023840314022404163,0.023840314022404163,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2003,2005,80,0.05010082711664379,0.05010082711664379,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2004,2006,74,0.027507270652694038,0.027507270652694038,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2005,2007,96,0.0003612192871131903,0.0003612192871131903,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2006,2008,117,-0.01699772532439564,-0.01699772532439564,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2007,2009,128,-0.016396087731655518,-0.016396087731655518,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2008,2010,117,-0.005549286984707746,-0.005549286984707746,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2009,2011,130,0.01926632566186326,0.01926632566186326,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2010,2012,149,0.021895797983244203,0.021895797983244203,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2011,2013,192,0.023155899089232435,0.023155899089232435,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2012,2014,215,0.024165997356985214,0.024165997356985214,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2013,2015,244,-0.0032930831243153103,-0.0032930831243153103,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2014,2016,279,-0.005538985289624598,-0.005538985289624598,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2015,2017,331,-0.013729133131721527,-0.013729133131721527,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2016,2018,394,-0.00905352479327659,-0.00905352479327659,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2017,2019,430,-0.018889523188303725,-0.018889523188303725,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2018,2020,595,-0.03095587514931608,-0.03095587514931608,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2019,2021,0,,,False,not_mature
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,2020,2022,0,,,False,not_mature
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,1986,1988,192,0.014627016219554312,0.014627016219554312,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,1987,1989,192,0.018958308647372912,0.018958308647372912,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,1988,1990,200,0.0046827031316128975,0.0046827031316128975,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,1989,1991,183,0.0143668666479152,0.0143668666479152,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,1990,1992,187,-0.004064375225804717,-0.004064375225804717,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,1991,1993,178,0.020405637079909722,0.020405637079909722,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,1992,1994,187,0.03950798168640646,0.03950798168640646,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,1993,1995,169,0.06110068778461819,0.06110068778461819,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,1994,1996,157,0.06567971947795515,0.06567971947795515,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,1995,1997,147,0.04078971126196518,0.04078971126196518,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,1996,1998,167,0.050850753085928346,0.050850753085928346,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,1997,1999,205,0.02249191239198145,0.02249191239198145,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,1998,2000,234,0.003540250157606284,0.003540250157606284,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,1999,2001,252,-0.010873193787589552,-0.010873193787589552,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2000,2002,241,-0.00863467076782043,-0.00863467076782043,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2001,2003,248,-0.010120742446029674,-0.010120742446029674,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2002,2004,254,0.0008323794306688281,0.0008323794306688281,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2003,2005,278,0.014435704343309319,0.014435704343309319,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2004,2006,299,0.009101797069542283,0.009101797069542283,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2005,2007,332,-0.006239245383000913,-0.006239245383000913,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2006,2008,362,0.003276106075435492,0.003276106075435492,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2007,2009,362,0.011725580812936731,0.011725580812936731,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2008,2010,374,0.011782512064530293,0.011782512064530293,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2009,2011,391,0.016283951296921728,0.016283951296921728,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2010,2012,473,0.009006340013560155,0.009006340013560155,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2011,2013,548,0.005930532640313957,0.005930532640313957,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2012,2014,643,-0.0013142171548176096,-0.0013142171548176096,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2013,2015,790,0.002817393909446464,0.002817393909446464,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2014,2016,1059,-0.005060493524679299,-0.005060493524679299,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2015,2017,1345,-0.014394193921058562,-0.014394193921058562,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2016,2018,1512,-0.017122963206017916,-0.017122963206017916,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2017,2019,1665,-0.007394774781293689,-0.007394774781293689,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2018,2020,1821,0.007911494115632411,0.007911494115632411,False,reliable
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2019,2021,0,,,False,not_mature
Primary 16 − Strict 7,primary,strict,computer_science_ai,Computer science & AI,2020,2022,0,,,False,not_mature
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,1986,1988,489,-0.002176755601374203,-0.002176755601374203,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,1987,1989,468,-0.025849529374104008,-0.025849529374104008,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,1988,1990,464,-0.014518109142869329,-0.014518109142869329,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,1989,1991,462,0.0015225944257437618,0.0015225944257437618,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,1990,1992,434,0.0044850848487894,0.0044850848487894,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,1991,1993,402,0.0007161635405878997,0.0007161635405878997,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,1992,1994,382,-0.0007494271805985608,-0.0007494271805985608,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,1993,1995,382,0.0057042619725788946,0.0057042619725788946,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,1994,1996,361,0.015533168877752135,0.015533168877752135,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,1995,1997,356,0.001679920093348386,0.001679920093348386,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,1996,1998,372,0.0018192236696730202,0.0018192236696730202,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,1997,1999,453,-0.01445939804348395,-0.01445939804348395,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,1998,2000,536,-0.02016797471269549,-0.02016797471269549,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,1999,2001,607,-0.018057048907522022,-0.018057048907522022,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2000,2002,594,-0.012461081971225196,-0.012461081971225196,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2001,2003,651,-0.013700076105849113,-0.013700076105849113,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2002,2004,677,-0.005708167895242422,-0.005708167895242422,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2003,2005,729,0.0027707797295770664,0.0027707797295770664,False,reliable
