paper_id,title,domain,year,primary_field,is_landmark,reference_count,community_reach,modularity_shock,path_shortening,component_reach,boundary_mixing
https://openalex.org/W2169125466,A tale of two TUTases,crispr,2003,Rna / Trypanosoma,0,4,1.0,-1.1102230246251565e-16,0.0,88.0,0.0
https://openalex.org/W1982000482,Diversity and Evolution of Mitochondrial RNA Editing Systems,crispr,2003,Rna / Trypanosoma,0,4,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2064904514,Identification of 13 novel human modification guide RNAs,crispr,2003,Rna / Sequence,0,6,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2028592324,Plant dicistronic tRNA-snoRNA genes: a new mode of expression of the small nucleolar RNAs processed by RNase Z,crispr,2003,Rna / Sequence,0,5,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2106003406,RBP16 is a multifunctional gene regulatory protein involved in editing and stabilization of specific mitochondrial mRNAs in <i>Trypanosoma brucei</i>,crispr,2003,Rna / Trypanosoma,0,13,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2138215612,"TbAGO1, an Argonaute protein required for RNA interference, is involved in mitosis and chromosome segregation in Trypanosoma brucei",crispr,2003,Rna / Silencing,0,6,2.0,0.30246913580246915,0.0,88.0,0.3333333333333333
https://openalex.org/W2153335436,"A structural, phylogenetic, and functional study of 15.5-kD/Snu13 protein binding on U3 small nucleolar RNA",crispr,2003,Rna / Sequence,0,3,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W1980805610,A snoRNA that guides the two most conserved pseudouridine modifications within rRNA confers a growth advantage in yeast,crispr,2003,Rna / Sequence,0,2,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2067780078,"In vitro RNP assembly and methylation guide activity of an unusual box C/D RNA, cis-acting archaeal pre-tRNATrp",crispr,2003,Rna / Sequence,0,6,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2144269804,"Is the Trypanosoma brucei REL1 RNA Ligase Specific for U-deletion RNA Editing, and Is the REL2 RNA Ligase Specific for U-insertion Editing?",crispr,2003,Rna / Trypanosoma,0,7,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2141357780,<i>Cucumber mosaic virus</i> Infection Transiently Breaks dsRNA-Induced Transgenic Immunity to <i>Potato virus Y</i> in Tobacco,crispr,2003,Rna / Silencing,0,1,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2099123020,Intracellular mRNA cleavage by 3' tRNase under the direction of 2'-O-methyl RNA heptamers,crispr,2003,Rna / Expression,0,1,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W1994441110,Dyskinetoplastic <i>Trypanosoma brucei</i> Contains Functional Editing Complexes,crispr,2003,Rna / Trypanosoma,0,11,1.0,1.1102230246251565e-16,0.0,88.0,0.0
https://openalex.org/W1992516446,"Cloning, functional analysis and post-transcriptional regulation of a type II DNA topoisomerase from Leishmania infantum. A new potential target for anti-parasite drugs",crispr,2003,Rna / Trypanosoma,0,1,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2124999767,Sequence and structural requirements for optimal guide RNA-directed insertional editing within <i>Leishmania tarentolae</i>,crispr,2003,Rna / Trypanosoma,0,14,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2113870223,"Mitochondrial and Nuclear Localization of Topoisomerase II in the Flagellate Bodo saltans (Kinetoplastida), a Species with Non-catenated Kinetoplast DNA",crispr,2003,Rna / Trypanosoma,0,1,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2006374749,"Caenorhabditis elegans pseudouridine synthase 1 activity in vivo: tRNA is a substrate, but not U2 small nuclear RNA",crispr,2003,Rna / Sequence,0,3,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2971789866,Cloning of Small <scp>RNA</scp> Molecules,crispr,2003,Rna / Silencing,0,1,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2132391748,Cis-acting Elements Stimulating Kinetoplastid Guide RNA-directed Editing,crispr,2003,Rna / Trypanosoma,0,9,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2189121406,"In vitro RNP assembly and methylation guide activity of an unusual box C/D RNA, cis-acting archaeal",crispr,2003,Rna / Sequence,0,6,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2162129680,Functional investigation of an RNA binding protein with methyl-transferase domain,crispr,2003,Rna / Sequence,0,2,2.0,0.125,0.0,88.0,0.5
https://openalex.org/W1989454102,Mechanisms of gene silencing by double-stranded RNA,crispr,2004,Rna / Silencing,0,5,1.0,0.0,0.0,126.0,0.0
https://openalex.org/W1980207862,Structural basis for overhang-specific small interfering RNA recognition by the PAZ domain,crispr,2004,Rna / Silencing,0,3,1.0,0.0,0.0,126.0,0.0
https://openalex.org/W2117207028,MicroRNA control of PHABULOSA in leaf development: importance of pairing to the microRNA 5′ region,crispr,2004,Rna / Silencing,0,4,1.0,0.0,0.0,126.0,0.0
https://openalex.org/W2144045727,Sequence-specific inhibition of microRNA- and siRNA-induced RNA silencing,crispr,2004,Rna / Silencing,0,5,1.0,0.0,0.0,126.0,0.0
https://openalex.org/W4241434797,Sequence-Specific Inhibition of Small RNA Function,crispr,2004,Rna / Silencing,0,8,1.0,-1.1102230246251565e-16,0.0,126.0,0.0
https://openalex.org/W1964486506,Major Structural Differences and Novel Potential Virulence Mechanisms from the Genomes of Multiple Campylobacter Species,crispr,2004,Rna / Bacterial,0,1,1.0,0.0,0.0,3.0,0.0
https://openalex.org/W2136177706,RISC is a 5′ phosphomonoester-producing RNA endonuclease,crispr,2004,Rna / Silencing,0,3,1.0,0.0,0.0,126.0,0.0
https://openalex.org/W2127861583,NONCODE: an integrated knowledge database of non-coding RNAs,crispr,2004,Rna / Sequence,0,1,1.0,0.0,0.0,126.0,0.0
https://openalex.org/W2099449240,Form follows function: the genomic organization of cellular differentiation,crispr,2004,Rna / Sequence,0,1,1.0,0.0,0.0,126.0,0.0
https://openalex.org/W2062290881,The RNA-Induced Silencing Complex Is a Mg2+-Dependent Endonuclease,crispr,2004,Rna / Silencing,0,2,1.0,0.0,0.0,126.0,0.0
https://openalex.org/W2118811024,Viral Virulence Protein Suppresses RNA Silencing–Mediated Defense but Upregulates the Role of MicroRNA in Host Gene Expression[W],crispr,2004,Rna / Silencing,0,4,1.0,0.0,0.0,126.0,0.0
https://openalex.org/W2119086628,Human Box H/ACA Pseudouridylation Guide RNA Machinery,crispr,2004,Rna / Sequence,0,10,1.0,0.0,0.0,126.0,0.0
https://openalex.org/W2160361990,Biogenesis of small nuclear RNPs,crispr,2004,Rna / Sequence,0,5,1.0,1.1102230246251565e-16,0.0,126.0,0.0
https://openalex.org/W2125741754,The mammalian transcriptome and the function of non-coding DNA sequences.,crispr,2004,Rna / Sequence,0,2,1.0,0.0,0.0,126.0,0.0
https://openalex.org/W2142066620,Genome-wide searching for pseudouridylation guide snoRNAs: analysis of the Saccharomyces cerevisiae genome,crispr,2004,Rna / Sequence,0,5,1.0,0.0,0.0,126.0,0.0
https://openalex.org/W2124469032,RNAi knockdown of hPrp31 leads to an accumulation of U4/U6 di‐snRNPs in Cajal bodies,crispr,2004,Rna / Sequence,0,4,1.0,0.0,0.0,126.0,0.0
https://openalex.org/W2123695081,Modified nucleotides at the 5′ end of human U2 snRNA are required for spliceosomal E-complex formation,crispr,2004,Rna / Sequence,0,1,1.0,0.0,0.0,126.0,0.0
https://openalex.org/W2150265408,Mitochondrial proteins and complexes in <i>Leishmania</i> and <i>Trypanosoma</i> involved in U-insertion/deletion RNA editing,crispr,2004,Rna / Trypanosoma,0,21,1.0,0.0,0.0,126.0,0.0
