w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE,cv_spearman,cv_spearman_delta_vs_equal
0.09352249,0.30319225,0.14579899,0.0626807,0.02092935,0.07173511,0.3021411,0.14989629076262972,0.009063436730535529
0.09580394,0.32844215,0.10436649,0.04409137,0.01451065,0.30282793,0.10995748,0.12983894509615496,-0.01099390893593924
0.11756815,0.01664763,0.11239451,0.52730674,0.09353436,0.07213849,0.06041011,0.13351357554470278,-0.007319278487391417
0.01826005,0.11868418,0.00906145,0.47557122,0.07858916,0.23197703,0.06785691,0.11140429115998401,-0.02942856287211018
0.25647563,0.16961,0.16411646,0.00783753,0.03808603,0.30563508,0.05823927,0.11314716143288146,-0.027685692599212733
0.17884361,0.47417604,0.03067043,0.20561485,0.01692362,0.01841431,0.07535715,0.13115934317833475,-0.009673510853759448
0.11922186,0.12215263,0.0925205,0.00643729,0.40643694,0.02203876,0.23119202,0.13796120086970098,-0.0028716531623932118
0.15393583,0.00671864,0.07343644,0.54822285,0.0384852,0.11184341,0.06735763,0.10296499105164858,-0.037867862980445616
0.18364226,0.49876761,0.02335546,0.0228112,0.02503055,0.10453771,0.14185521,0.1278113959934044,-0.013021458038689787
0.00372299,0.12889486,0.33379597,0.00888987,0.22046939,0.2793231,0.02490381,0.15821640621884048,0.01738355218674628
0.04820787,0.28420927,0.46639744,0.01486218,0.09967604,0.03332835,0.05331886,0.17680471762316505,0.03597186359107085
0.09461032,0.22444489,0.13807824,0.30660472,0.03171252,0.00132986,0.20321945,0.15538008920589516,0.014547235173800965
0.60225472,0.10055073,0.12047548,0.08373277,0.05665422,0.02932957,0.00700251,0.0891663636034897,-0.051666490428604495
0.18994717,0.15703316,0.0596405,0.09235252,0.36136222,0.03021415,0.10945028,0.1351727647124777,-0.005660089319616507
0.30690331,0.02416538,0.04299207,0.15640336,0.09974994,0.23469395,0.13509199,0.09658309373956409,-0.04424976029253011
0.07800321,0.06451852,0.01275973,0.0594186,0.01625635,0.01542633,0.75361725,0.12235188450988417,-0.018480969522210025
0.22929123,0.10310681,0.19389291,0.26982088,0.07644671,0.09995451,0.02748695,0.1341666123405998,-0.006666241691494407
0.07275597,0.10400621,0.05968403,0.20920564,0.06612463,0.47699672,0.0112268,0.09307883414597834,-0.047754019886115856
0.07839855,0.08337394,0.0572786,0.05571556,0.0142309,0.20082687,0.51017558,0.1312700916522959,-0.009562762379798306
0.27079972,0.17009334,0.04527442,0.08286623,0.0219956,0.04764769,0.36132299,0.12799655597547077,-0.012836298056623424
0.06418221,0.05108043,0.03338764,0.78094382,0.02927615,0.01344321,0.02768653,0.10430443258722724,-0.036528421444866954
0.62688164,0.00021869,0.01027772,0.13652016,0.08128854,0.04419577,0.10061747,0.0729573137173829,-0.0678755403147113
0.01356185,0.12781029,0.27166239,0.12419798,0.01098468,0.06998301,0.38179981,0.16651451378484233,0.025681659752748137
0.04629852,0.1117786,0.0106699,0.02395679,0.62006333,0.07272211,0.11451074,0.1223902042719093,-0.018442649760184893
0.25228554,0.11766465,0.29895842,0.12987029,0.06623615,0.10003723,0.03494773,0.14317378721816085,0.0023409331860666516
0.08675342,0.19773837,0.05233985,0.10585115,0.29819398,0.06639202,0.19273121,0.13666612941734818,-0.004166724614746015
0.0072538,0.16858469,0.19878452,0.32716038,0.01591471,0.13239555,0.14990636,0.1616141874744271,0.020781333442332905
0.05377599,0.41066418,0.17220508,0.06227006,0.16744834,0.06870209,0.06493426,0.15681233728261457,0.01597948325052037
0.26447907,0.10974533,0.00605374,0.02763102,0.09162604,0.44253187,0.05793292,0.0824564688055148,-0.0583763852265794
0.16915922,0.03179482,6.792e-05,0.18054642,0.10893624,0.25966911,0.24982627,0.10732701412791777,-0.033505839904176424
0.20122328,0.04191934,0.01265656,0.01025793,0.61080691,0.12248805,0.00064793,0.11896235031245352,-0.02187050371964068
0.22327594,0.30749806,0.00123977,0.01252024,0.11009901,0.34510964,0.00025734,0.1010984783948707,-0.0397343756372235
0.00798761,0.21525122,0.11384006,0.20469158,0.43790721,0.01586511,0.00445721,0.14691002545100937,0.006077171418915173
0.2876273,0.17111676,0.1027684,0.13145838,0.02180426,0.16308815,0.12213675,0.11773122803541437,-0.023101625996679823
0.20684835,0.11048943,0.17820471,0.08838992,0.05478957,0.15806064,0.20321738,0.13969622815922358,-0.0011366258728706113
0.05633513,0.13665609,0.27691492,0.24317448,0.11921876,0.13742145,0.03027916,0.16256329783259915,0.021730443800504956
0.09922897,0.03968807,0.25141986,0.11318063,0.43261327,0.05616249,0.00770671,0.15802252688932336,0.017189672857229166
0.06794061,0.26519949,0.0908976,0.04201394,0.27097819,0.23004215,0.03292802,0.13914242218043218,-0.001690431851662011
0.4104968,0.16180405,0.04522988,0.01089462,0.11844724,0.13961743,0.11350998,0.10597056487536036,-0.03486228915673384
0.178869,0.06689817,0.06130811,0.00493693,0.54910193,0.09046555,0.04842031,0.12928763599375326,-0.011545218038340938
0.14798123,0.03824853,0.11616343,0.04419095,0.38704464,0.24820046,0.01817075,0.12956581935838948,-0.011267034673704712
0.14123205,0.00457025,0.06833646,0.04959667,0.2823404,0.2517693,0.20215487,0.12573090797789654,-0.015101946054197651
0.12584955,0.37732117,0.12424619,0.02576889,0.04650548,0.07762572,0.22268299,0.14594105641018895,0.005108202378094756
0.13128836,0.09234015,0.34177268,0.08185172,0.05248502,0.26676256,0.03349951,0.1392876190987222,-0.0015452349333719972
0.03342914,0.0340409,0.11199588,0.02336138,0.46170116,0.3189462,0.01652534,0.13317403943317507,-0.0076588145989191225
0.10018745,0.07475055,0.21843861,0.06560346,0.17862466,0.03605135,0.32634393,0.15912314378395662,0.01829028975186242
0.01054772,0.28703312,0.00903372,0.05834658,0.53581528,0.08776044,0.01146315,0.12782650515260063,-0.013006348879493562
0.15619145,0.18651909,0.11532515,0.07249081,0.04924463,0.29059431,0.12963454,0.12435483278575918,-0.016478021246335017
0.01710412,0.11357914,0.178328,0.35793985,0.18762507,0.11829543,0.02712838,0.16039688639597294,0.01956403236387874
0.03042497,0.12030923,0.11706402,0.16563457,0.13417644,0.04085755,0.39153322,0.1462025163404716,0.005369662308377404
0.19063907,0.20999889,0.07896343,0.30493855,0.17012618,0.02053966,0.02479423,0.1392597648846945,-0.0015730891473997033
0.00328366,0.11240045,0.08051924,0.01368626,0.40908135,0.0817898,0.29923923,0.1354147087583935,-0.005418145273700686
0.39586117,0.33160119,0.13219188,0.06264168,0.05236092,0.00266714,0.02267602,0.1281640033365633,-0.012668850695530892
0.10737427,0.01928188,0.09116301,0.52464377,0.14947073,0.06288399,0.04518236,0.13574934064425623,-0.005083513387837968
0.12661077,0.12433169,0.24625012,0.03610317,0.32478497,0.0965487,0.04537058,0.15780126366140007,0.016968409629305875
0.66556669,0.00566241,0.06683049,0.17796787,0.02505597,0.04779617,0.01112041,0.064976992433393,-0.0758558615987012
0.3679582,0.13741189,0.04617769,0.08344307,0.11565819,0.13207589,0.11727506,0.10838200982013182,-0.03245084421196237
0.17194904,0.14363253,0.09214808,0.13586414,0.18012859,0.1386696,0.13760803,0.13629598493038542,-0.004536869101708779
0.52557982,0.12646611,0.15684767,0.0453925,0.01560143,0.00813989,0.12197258,0.11080035428168314,-0.030032499750411057
