after_community_id,status,is_new,matched_before_community_id,after_size,matched_before_size,overlap_with_before,jaccard_with_before,post_event_nodes,pre_event_nodes,post_event_share,dominant_field,dominant_topic,before_only_overlap_nodes
14,expanded,False,,7,0,0,0.0,6,1,0.8571428571428571,Physics and Astronomy / Earth and Planetary Sciences,Black Holes and Theoretical Physics / Noncommutative and Quantum Gravity Theories,1
15,inherited,False,5.0,6,167,5,0.02976190476190476,1,5,0.16666666666666666,Physics and Astronomy,"Cosmology and Gravitation Theories / Galaxies: Formation, Evolution, Phenomena",5
16,expanded,False,4.0,6,335,3,0.008875739644970414,2,4,0.3333333333333333,Physics and Astronomy,Noncommutative and Quantum Gravity Theories / Black Holes and Theoretical Physics,4
17,expanded,False,0.0,6,1660,1,0.0006006006006006006,4,2,0.6666666666666666,Physics and Astronomy / Computer Science,Black Holes and Theoretical Physics / Cosmology and Gravitation Theories,2
18,inherited,False,18.0,5,4,4,0.8,1,4,0.2,Physics and Astronomy,Cosmology and Gravitation Theories / Black Holes and Theoretical Physics,4
19,expanded,False,,5,0,0,0.0,4,1,0.8,Physics and Astronomy,"Stellar, planetary, and galactic studies / Astrophysics and Star Formation Studies",1
20,expanded,False,,5,0,0,0.0,5,0,1.0,Physics and Astronomy,Astrophysics and Star Formation Studies / Astro and Planetary Science,0
21,expanded,False,56.0,5,2,2,0.4,3,2,0.6,Physics and Astronomy,Cosmology and Gravitation Theories / Black Holes and Theoretical Physics,2
22,expanded,False,,5,0,0,0.0,5,0,1.0,Physics and Astronomy,Relativity and Gravitational Theory / Quantum and Classical Electrodynamics,0
23,inherited,False,26.0,4,3,3,0.75,1,3,0.25,Physics and Astronomy / Computer Science,Cosmology and Gravitation Theories / Black Holes and Theoretical Physics,3
24,inherited,False,3.0,4,523,3,0.0057251908396946565,1,3,0.25,Physics and Astronomy,Pulsars and Gravitational Waves Research / Astrophysics and Cosmic Phenomena,3
25,inherited,False,17.0,4,4,4,1.0,0,4,0.0,Physics and Astronomy / Mathematics,Mathematical and Theoretical Analysis / Noncommutative and Quantum Gravity Theories,4
26,inherited,False,5.0,4,167,3,0.017857142857142856,1,3,0.25,Physics and Astronomy,"Stellar, planetary, and galactic studies / Astronomy and Astrophysical Research",3
27,expanded,False,,4,0,0,0.0,4,0,1.0,Physics and Astronomy,"Stellar, planetary, and galactic studies / Astro and Planetary Science",0
28,inherited,False,2.0,4,786,4,0.005089058524173028,0,4,0.0,Physics and Astronomy,Pulsars and Gravitational Waves Research / Astrophysics and Cosmic Phenomena,4
29,inherited,False,19.0,4,4,4,1.0,0,4,0.0,Physics and Astronomy,Relativity and Gravitational Theory / Cosmology and Gravitation Theories,4
30,inherited,False,25.0,4,3,3,0.75,1,3,0.25,Physics and Astronomy,Nuclear physics research studies / Quantum Chromodynamics and Particle Interactions,3
31,expanded,False,,4,0,0,0.0,3,1,0.75,Physics and Astronomy,Black Holes and Theoretical Physics / Cosmology and Gravitation Theories,1
32,expanded,False,0.0,4,1660,1,0.0006013229104028864,3,1,0.75,Physics and Astronomy,"Stellar, planetary, and galactic studies / Astrophysics and Star Formation Studies",1
33,inherited,False,27.0,4,3,3,0.75,1,3,0.25,Physics and Astronomy,Black Holes and Theoretical Physics / Noncommutative and Quantum Gravity Theories,3
34,expanded,False,48.0,4,2,2,0.5,2,2,0.5,Physics and Astronomy,Black Holes and Theoretical Physics / Pulsars and Gravitational Waves Research,2
35,inherited,False,23.0,4,4,4,1.0,0,4,0.0,Physics and Astronomy,Black Holes and Theoretical Physics / Cosmology and Gravitation Theories,4
36,expanded,False,2.0,3,786,1,0.0012690355329949238,2,1,0.6666666666666666,Physics and Astronomy / Computer Science,Neutrino Physics Research / Gamma-ray bursts and supernovae,1
37,expanded,False,,3,0,0,0.0,3,0,1.0,"Physics and Astronomy / Biochemistry, Genetics and Molecular Biology",Quantum chaos and dynamical systems / Elasticity and Wave Propagation,0
38,expanded,False,,3,0,0,0.0,2,1,0.6666666666666666,Physics and Astronomy,Black Holes and Theoretical Physics / Cosmology and Gravitation Theories,1
39,inherited,False,2.0,3,786,3,0.003816793893129771,0,3,0.0,Physics and Astronomy,Pulsars and Gravitational Waves Research / Radio Astronomy Observations and Technology,3
40,inherited,False,0.0,3,1660,2,0.0012040939193257074,0,3,0.0,Physics and Astronomy,Pulsars and Gravitational Waves Research / Geophysics and Sensor Technology,3
41,expanded,False,,3,0,0,0.0,3,0,1.0,Physics and Astronomy,Black Holes and Theoretical Physics / Cosmology and Gravitation Theories,0
42,inherited,False,2.0,3,786,3,0.003816793893129771,0,3,0.0,Physics and Astronomy,Pulsars and Gravitational Waves Research / Scientific Research and Discoveries,3
43,inherited,False,34.0,3,3,3,1.0,0,3,0.0,Physics and Astronomy,Quantum Mechanics and Applications / Noncommutative and Quantum Gravity Theories,3
44,expanded,False,,2,0,0,0.0,2,0,1.0,Mathematics / Physics and Astronomy,Algebraic and Geometric Analysis / Black Holes and Theoretical Physics,0
45,expanded,False,1.0,2,1658,1,0.0006027727546714888,1,1,0.5,Physics and Astronomy,Black Holes and Theoretical Physics / Advanced Differential Geometry Research,1
46,inherited,False,39.0,2,2,2,1.0,0,2,0.0,Physics and Astronomy,Pulsars and Gravitational Waves Research / Geophysics and Sensor Technology,2
47,expanded,False,2.0,2,786,1,0.0012706480304955528,1,1,0.5,Physics and Astronomy,Pulsars and Gravitational Waves Research / Geophysics and Gravity Measurements,1
48,expanded,False,,2,0,0,0.0,2,0,1.0,Physics and Astronomy,Gamma-ray bursts and supernovae / Astrophysical Phenomena and Observations,0
49,expanded,False,0.0,2,1660,1,0.0006020469596628537,1,1,0.5,Engineering,Geophysics and Sensor Technology / High-pressure geophysics and materials,1
50,expanded,False,,2,0,0,0.0,1,1,0.5,Physics and Astronomy,Nuclear physics research studies / Quantum Chromodynamics and Particle Interactions,1
51,inherited,False,41.0,2,2,2,1.0,0,2,0.0,Physics and Astronomy,"Solar and Space Plasma Dynamics / Stellar, planetary, and galactic studies",2
52,inherited,False,42.0,2,2,2,1.0,0,2,0.0,Engineering,Microfluidic and Capillary Electrophoresis Applications / Microfluidic and Bio-sensing Technologies,2
53,inherited,False,44.0,2,2,2,1.0,0,2,0.0,Physics and Astronomy,Quantum Chromodynamics and Particle Interactions / Black Holes and Theoretical Physics,2
54,inherited,False,46.0,2,2,2,1.0,0,2,0.0,Physics and Astronomy,Black Holes and Theoretical Physics / Geometric Analysis and Curvature Flows,2
55,expanded,False,,2,0,0,0.0,1,1,0.5,Physics and Astronomy,Cosmology and Gravitation Theories / Relativity and Gravitational Theory,1
56,expanded,False,,2,0,0,0.0,1,1,0.5,Engineering,Vibration Control and Rheological Fluids / Seismic Performance and Analysis,1
57,inherited,False,0.0,2,1660,2,0.0012048192771084338,0,2,0.0,Physics and Astronomy,Astrophysical Phenomena and Observations / Pulsars and Gravitational Waves Research,2
58,inherited,False,52.0,2,2,2,1.0,0,2,0.0,Physics and Astronomy,Pulsars and Gravitational Waves Research / Quantum Chromodynamics and Particle Interactions,2
59,expanded,False,,2,0,0,0.0,2,0,1.0,Physics and Astronomy,Dark Matter and Cosmic Phenomena / Cosmology and Gravitation Theories,0
60,inherited,False,54.0,2,2,2,1.0,0,2,0.0,Physics and Astronomy,Nuclear physics research studies / Atomic and Molecular Physics,2
61,expanded,False,62.0,2,1,1,0.5,1,1,0.5,Earth and Planetary Sciences / Engineering,Geophysics and Gravity Measurements / Geomagnetism and Paleomagnetism Studies,1
62,inherited,False,57.0,2,2,2,1.0,0,2,0.0,Physics and Astronomy,"Cold Atom Physics and Bose-Einstein Condensates / Quantum, superfluid, helium dynamics",2
63,inherited,False,3.0,2,523,2,0.0038240917782026767,0,2,0.0,Physics and Astronomy / Engineering,Black Holes and Theoretical Physics / Cosmology and Gravitation Theories,2
64,inherited,False,3.0,2,523,2,0.0038240917782026767,0,2,0.0,Physics and Astronomy,Pulsars and Gravitational Waves Research / Cosmology and Gravitation Theories,2
65,expanded,False,,2,0,0,0.0,2,0,1.0,Physics and Astronomy,Black Holes and Theoretical Physics / Cosmology and Gravitation Theories,0
66,expanded,False,,2,0,0,0.0,2,0,1.0,Psychology / Physics and Astronomy,Philosophy and Theoretical Science / Space Science and Extraterrestrial Life,0
67,inherited,False,58.0,2,2,2,1.0,0,2,0.0,Physics and Astronomy,Black Holes and Theoretical Physics / Cosmology and Gravitation Theories,2
68,inherited,False,59.0,1,1,1,1.0,0,1,0.0,Physics and Astronomy,Advanced Differential Geometry Research / Black Holes and Theoretical Physics,1
69,inherited,False,60.0,1,1,1,1.0,0,1,0.0,Physics and Astronomy,Black Holes and Theoretical Physics / Geometry and complex manifolds,1
70,inherited,False,61.0,1,1,1,1.0,0,1,0.0,Engineering,Advanced Electrical Measurement Techniques / Target Tracking and Data Fusion in Sensor Networks,1
71,expanded,False,,1,0,0,0.0,1,0,1.0,Physics and Astronomy,Cosmology and Gravitation Theories / Relativity and Gravitational Theory,0
72,expanded,False,,1,0,0,0.0,1,0,1.0,"Biochemistry, Genetics and Molecular Biology",Genomics and Phylogenetic Studies / Evolution and Genetic Dynamics,0
73,expanded,False,,1,0,0,0.0,1,0,1.0,Physics and Astronomy,Model Reduction and Neural Networks / Advanced Adaptive Filtering Techniques,0
74,expanded,False,,1,0,0,0.0,1,0,1.0,Physics and Astronomy,Cold Atom Physics and Bose-Einstein Condensates / Atomic and Subatomic Physics Research,0
75,expanded,False,,1,0,0,0.0,1,0,1.0,"Economics, Econometrics and Finance",Economic theories and models / Economic Theory and Policy,0
76,expanded,False,,1,0,0,0.0,1,0,1.0,Decision Sciences,scientometrics and bibliometrics research / Academic Writing and Publishing,0
77,expanded,False,,1,0,0,0.0,1,0,1.0,Physics and Astronomy,Experimental and Theoretical Physics Studies / Relativity and Gravitational Theory,0
78,inherited,False,2.0,1,786,1,0.001272264631043257,0,1,0.0,Physics and Astronomy,Pulsars and Gravitational Waves Research / Gamma-ray bursts and supernovae,1
